sub_category,main_category
عطر و ادکلن زنانه و مردانه,آرایشی و بهداشتی
اسپری و مام,آرایشی و بهداشتی
سایه چشم,آرایشی و بهداشتی
کرم و ژل ضد جوش,آرایشی و بهداشتی
کرم مرطوب کننده,آرایشی و بهداشتی
ناخن مصنوعی,آرایشی و بهداشتی
هایلایتر,آرایشی و بهداشتی
لوسیون,آرایشی و بهداشتی
ابزار مانیکور و پدیکور,آرایشی و بهداشتی
کانتور,آرایشی و بهداشتی
ژل شستشو بهداشتی بانوان,آرایشی و بهداشتی
کرم پودر,آرایشی و بهداشتی
براش و برس و پد,آرایشی و بهداشتی
نخ و خلال دندان,آرایشی و بهداشتی
بهداشت جنسی,آرایشی و بهداشتی
کانسیلر,آرایشی و بهداشتی
رنگ ابرو,آرایشی و بهداشتی
ژل و فوم اصلاح,آرایشی و بهداشتی
عطر جیبی,آرایشی و بهداشتی
آبرسان,آرایشی و بهداشتی
تثبیت کننده آرایش,آرایشی و بهداشتی
خوشبو کننده و دهان شویه,آرایشی و بهداشتی
بالم لب,آرایشی و بهداشتی
لوازم اصلاح بدن,آرایشی و بهداشتی
مراقبت لب,آرایشی و بهداشتی
کلاه گیس و اکستنشن,آرایشی و بهداشتی
سرم و اسپری مو,آرایشی و بهداشتی
کتاب آموزش زبان,فرهنگی اموزشی و سرگرمی
لوازم جانبی موسیقی,فرهنگی اموزشی و سرگرمی
مجلات داخلی,فرهنگی اموزشی و سرگرمی
کتاب های روانشناسی و خودیاری,فرهنگی اموزشی و سرگرمی
دفاع مقدس,فرهنگی اموزشی و سرگرمی
مدیریت مالی و کسب و کار,فرهنگی اموزشی و سرگرمی
نوشت افزار,فرهنگی اموزشی و سرگرمی
مهر و پایه مهر,فرهنگی اموزشی و سرگرمی
کتاب کمک درسی,فرهنگی اموزشی و سرگرمی
نرم افزار حسابداری,فرهنگی اموزشی و سرگرمی
تفنگ اسباب بازی و مبارزه,فرهنگی اموزشی و سرگرمی
کاغذ و مقوا,فرهنگی اموزشی و سرگرمی
اسباب بازی موزیکال,فرهنگی اموزشی و سرگرمی
بازی آموزشی و سرگرمی,فرهنگی اموزشی و سرگرمی
پازل,فرهنگی اموزشی و سرگرمی
نرم افزار مذهبی,فرهنگی اموزشی و سرگرمی
تخته سیاه و وایت برد,فرهنگی اموزشی و سرگرمی
نرم افزار آموزشی,فرهنگی اموزشی و سرگرمی
مجلات خارجی,فرهنگی اموزشی و سرگرمی
تسبیح و صلوات شمار,فرهنگی اموزشی و سرگرمی
دفتر و کلاسور,فرهنگی اموزشی و سرگرمی
نرم افزار امنیتی,فرهنگی اموزشی و سرگرمی
اسباب بازی ربات و گجت,فرهنگی اموزشی و سرگرمی
لوازم دانش آموزی,فرهنگی اموزشی و سرگرمی
عروسک و فیگور,فرهنگی اموزشی و سرگرمی
کتاب های مدیریت و رهبری,فرهنگی اموزشی و سرگرمی
لگو و خانه سازی,فرهنگی اموزشی و سرگرمی
کتاب طنز,فرهنگی اموزشی و سرگرمی
کتاب موسیقی,فرهنگی اموزشی و سرگرمی
کودک و نوجوان,فرهنگی اموزشی و سرگرمی
کتاب های بازاریابی,فرهنگی اموزشی و سرگرمی
کتاب های کنکور,فرهنگی اموزشی و سرگرمی
کتاب صوتی و الکترونیک,فرهنگی اموزشی و سرگرمی
اسباب بازی فضای باز,فرهنگی اموزشی و سرگرمی
ماسک و تنپوش کارتونی,فرهنگی اموزشی و سرگرمی
آیات و ادعیه کارتی,فرهنگی اموزشی و سرگرمی
کتاب های حوزوی,فرهنگی اموزشی و سرگرمی
کتاب‌های مذهبی,فرهنگی اموزشی و سرگرمی
سازهای کوبه ای,فرهنگی اموزشی و سرگرمی
مجموعه یک نرم افزاری,فرهنگی اموزشی و سرگرمی
نرم افزار سیستم عامل,فرهنگی اموزشی و سرگرمی
کتاب های مذهبی,فرهنگی اموزشی و سرگرمی
جانماز و سجاده,فرهنگی اموزشی و سرگرمی
کتاب چاپی,فرهنگی اموزشی و سرگرمی
چسب,فرهنگی اموزشی و سرگرمی
نرم افزار آفیس,فرهنگی اموزشی و سرگرمی
منابع و مراجع,فرهنگی اموزشی و سرگرمی
ادبیات,فرهنگی اموزشی و سرگرمی
اسباب بازی دخترانه,فرهنگی اموزشی و سرگرمی
سازهای زهی و آرشه ای,فرهنگی اموزشی و سرگرمی
اسباب بازی وسایل نقلیه,فرهنگی اموزشی و سرگرمی
بازی های رومیزی,فرهنگی اموزشی و سرگرمی
کتاب‌های روانشناسی و خودیاری,فرهنگی اموزشی و سرگرمی
رمان و داستان,فرهنگی اموزشی و سرگرمی
لوازم مذهبی و عزاداری,فرهنگی اموزشی و سرگرمی
سازهای بادی,فرهنگی اموزشی و سرگرمی
نرم افزارهای گرافیکی,فرهنگی اموزشی و سرگرمی
سازهای کلیددار و الکترونیک,فرهنگی اموزشی و سرگرمی
کتاب دانشگاهی,فرهنگی اموزشی و سرگرمی
لوازم نقاشی,فرهنگی اموزشی و سرگرمی
اسباب بازی نوزاد,فرهنگی اموزشی و سرگرمی
نشانه و استند,خانه و آشپزخانه
سرخ کن و کباب پز,خانه و آشپزخانه
صندلی,خانه و آشپزخانه
آبمیوه گیری و آب مرکبات گیری,خانه و آشپزخانه
ظروف آشپزخانه,خانه و آشپزخانه
لوازم مهمانی,خانه و آشپزخانه
آینه و تابلو,خانه و آشپزخانه
غذای پرندگان,خانه و آشپزخانه
ظروف یکبار مصرف,خانه و آشپزخانه
پارچه,خانه و آشپزخانه
تشک,خانه و آشپزخانه
فلاسک، کلمن و ماگ,خانه و آشپزخانه
لوازم حمام,خانه و آشپزخانه
کولر گازی و آبی,خانه و آشپزخانه
رومیزی و رانر,خانه و آشپزخانه
آینه و تابلـو,خانه و آشپزخانه
جای ساز و قهوه ساز,خانه و آشپزخانه
جاوروش، جاورشازی و بخارشوی,خانه و آشپزخانه
گیاهان آپارتمانی,خانه و آشپزخانه
چرخ خیاطی,خانه و آشپزخانه
ترازو,خانه و آشپزخانه
شلف و استند,خانه و آشپزخانه
لوازم تهیه و سرو چای,خانه و آشپزخانه
پرده و ملزومات پرده,خانه و آشپزخانه
ملحفه و رو بالشی,خانه و آشپزخانه
توستر، آون توستر و ساندویچ ساز,خانه و آشپزخانه
بذر و تخم گیاهان,خانه و آشپزخانه
یخچال و فریزر,خانه و آشپزخانه
سرویس پارچه ای آشپزخانه,خانه و آشپزخانه
خردکن و غذا ساز,خانه و آشپزخانه
بخاری و گرمکن,خانه و آشپزخانه
ماشین ظرفشویی,خانه و آشپزخانه
نظم دهنده لباس,خانه و آشپزخانه
استند و مجسمه,خانه و آشپزخانه
ابزار قنادی,خانه و آشپزخانه
ابزار نظافت,خانه و آشپزخانه
مایکروویو و سولاردوم,خانه و آشپزخانه
شمع,خانه و آشپزخانه
میز,خانه و آشپزخانه
چرخ گوشت برقی و دستی,خانه و آشپزخانه
اجاق گاز و تنور,خانه و آشپزخانه
لوازم پخت و پز,خانه و آشپزخانه
ظروف سرو و پذیرایی,خانه و آشپزخانه
سفره و زیر بشقابی,خانه و آشپزخانه
لامپ، چراغ و مهتابی,خانه و آشپزخانه
ساعت دیواری و دکوری,خانه و آشپزخانه
نظم‌دهنده لباس,خانه و آشپزخانه
گل مصنوعی,خانه و آشپزخانه
خاک، کود و آفت‌کش,خانه و آشپزخانه
اتو و میز اتو,خانه و آشپزخانه
دستمال کاغذی و آشپزخانه,خانه و آشپزخانه
بالش و کوسن,خانه و آشپزخانه
کمد، کتابخانه، بوفه,خانه و آشپزخانه
مجسمه و تندیس,خانه و آشپزخانه
همزن و گوشتکوب برقی,خانه و آشپزخانه
چای ساز و قهوه ساز,خانه و آشپزخانه
ماشین لباسشویی,خانه و آشپزخانه
تخت خواب,خانه و آشپزخانه
مبل,خانه و آشپزخانه
جاکفشی و نظافت کفش,خانه و آشپزخانه
تصفیه آب و آب سرد کن,خانه و آشپزخانه
آرام پز، پلوپز و بخارپز,خانه و آشپزخانه
روتختی و پتو,خانه و آشپزخانه
سایر تجهیزات اداری,کالای دیجیتال
قطعات لپ تاپ,کالای دیجیتال
مونوپاد و گیمبال موبایل,کالای دیجیتال
تابلو LED و لوازم جانبی,کالای دیجیتال
سابووفر و آمپلی فایر,کالای دیجیتال
کتاب خوان و کاغذ دیجیتالی,کالای دیجیتال
منبع تغذیه,کالای دیجیتال
تلفن، فکس و لوازم جانبی,کالای دیجیتال
محافظ موبایل و تبلت,کالای دیجیتال
فایل موبایل,کالای دیجیتال
ید امضا,کالای دیجیتال
پرینتر سه بعدی,کالای دیجیتال
محافظ و نگهدارنده کابل,کالای دیجیتال
دوربین فیلمبرداری,کالای دیجیتال
لوازم جانبی پرینتر، اسکنر و کپی,کالای دیجیتال
کابینت باتری,کالای دیجیتال
اندروید باکس,کالای دیجیتال
دوربین های نظارتی و امنیتی,کالای دیجیتال
جاباتری و شارژر باتری,کالای دیجیتال
لوازم جانبی NAS و سرور,کالای دیجیتال
چند راهی برق و محافظ ولتاژ,کالای دیجیتال
کارت شبکه,کالای دیجیتال
آنتن و تقویت کننده شبکه,کالای دیجیتال
ساندبار,کالای دیجیتال
کیبورد تبلت,کالای دیجیتال
مادربورد,کالای دیجیتال
دوربین ورزشی و گوپرو,کالای دیجیتال
گجت هوشمند و اینترنت اشیا,کالای دیجیتال
پاور کامپیوتر,کالای دیجیتال
اسپیکر، میکروفون و لوازم جانبی,کالای دیجیتال
کی پد گوشی,کالای دیجیتال
باتری تبلت,کالای دیجیتال
میکروسکوپ,کالای دیجیتال
پرینتر,کالای دیجیتال
باتری گوشی موبایل,کالای دیجیتال
تبلت,کالای دیجیتال
کامپیوترهای کوچک (مینی کامپیوتر),کالای دیجیتال
رایزر کارت گرافیک,کالای دیجیتال
ضبط کننده صدا,کالای دیجیتال
رم کامپیوتر و لپ تاپ,کالای دیجیتال
حافظه و ذخیره ساز تحت شبکه,کالای دیجیتال
تاچ و ال سی دی گوشی و تبلت,کالای دیجیتال
لوازم جانبی عکاسی و فیلمبرداری,کالای دیجیتال
شیشه دوربین گوشی و تبلت,کالای دیجیتال
مکان یاب,کالای دیجیتال
سایر لوازم جانبی کنسول,کالای دیجیتال
سرور و کامپیوتر سرور,کالای دیجیتال
صحافی و پرس,کالای دیجیتال
تجهیزات ارتباطات سازمانی,کالای دیجیتال
کیوسک و استند لمسی,کالای دیجیتال
ذخیره سازی مبتنی بر نوار,کالای دیجیتال
گیت ضد سرقت فروشگاهی,کالای دیجیتال
دسته بازی (گیم پد),کالای دیجیتال
مودم,کالای دیجیتال
سیستم نوبت دهی,کالای دیجیتال
ست ماوس و کیبورد,کالای دیجیتال
تجهیزات فیبر نوری,کالای دیجیتال
دوربین عکاسی,کالای دیجیتال
آداپتور شبکه,کالای دیجیتال
درایو نوری,کالای دیجیتال
دانگل بلوتوث,کالای دیجیتال
ست گیمینگ,کالای دیجیتال
لوازم جانبی ساعت هوشمند,کالای دیجیتال
اسکنر اثر انگشت,کالای دیجیتال
سایر قطعات داخلی کامپیوتر,کالای دیجیتال
فرمان ماشین بازی,کالای دیجیتال
سایر لوازم جانبی کامپیوتر و لپ تاپ,کالای دیجیتال
مانیتور و لوازم جانبی,کالای دیجیتال
کیبورد,کالای دیجیتال
آنتن گوشی و تبلت,کالای دیجیتال
دوربین گوشی و تبلت,کالای دیجیتال
ضبط کننده و پکیج سیستم های امنیتی,کالای دیجیتال
کابل و اتصالات گوشی و تبلت,کالای دیجیتال
کارت حافظه,کالای دیجیتال
دیسپنسر و دستگاه ضد عفونی کننده,کالای دیجیتال
سایر قطعات و لوازم یدکی موبایل و تبلت,کالای دیجیتال
توسعه دهنده محدوده بی سیم,کالای دیجیتال
لوازم تعمیرات موبایل تبلت,کالای دیجیتال
CD و DVD خام,کالای دیجیتال
دوربین شکاری و دو چشمی,کالای دیجیتال
دستگاه کپی,کالای دیجیتال
PDA و دیتا کالکتور,کالای دیجیتال
کارت گرافیک,کالای دیجیتال
سینمای خانگی,کالای دیجیتال
ماوس پد,کالای دیجیتال
دانگل کارت شبکه (Wifi),کالای دیجیتال
ماوس,کالای دیجیتال
لوازم جانبی تلویزیون,کالای دیجیتال
جک و کانکتور هدفون,کالای دیجیتال
کاغذ خردکن و لوازم جانبی,کالای دیجیتال
دکمه پاور گوشی و تبلت,کالای دیجیتال
پخش کننده تصویری,کالای دیجیتال
مچ بند هوشمند,کالای دیجیتال
سایر لوازم الکتریکی همراه,کالای دیجیتال
پایه نگهدارنده گوشی و تبلت,کالای دیجیتال
پخش کننده MP3 و MP4,کالای دیجیتال
پچ پنل,کالای دیجیتال
لوازم جانبی پاوربانک,کالای دیجیتال
پاوربانک,کالای دیجیتال
برچسب و کاور کنسول,کالای دیجیتال
رک شبکه و لوازم جانبی,کالای دیجیتال
کنسول بازی,کالای دیجیتال
دزدگیر اماکن و لوازم جانبی,کالای دیجیتال
تلویزیون,کالای دیجیتال
کابل رابط,کالای دیجیتال
ویدیو پروژکتور و تجهیزات ویدیو کنفرانس,کالای دیجیتال
رادیو و گرامافون,کالای دیجیتال
فن و پنکه USB و شارژی,کالای دیجیتال
قاب، شاسی و درب گوشی,کالای دیجیتال
سایر کابل و تبدیل,کالای دیجیتال
ترازو فروشگاهی,کالای دیجیتال
شارژر موبایل و تبلت,کالای دیجیتال
سایر تجهیزات شبکه و ارتباطات,کالای دیجیتال
کارت صدا,کالای دیجیتال
سایر تجهیزات فروشگاهی,کالای دیجیتال
قلم نوری و لوازم جانبی,کالای دیجیتال
ویبره گوشی,کالای دیجیتال
روتر و اکسس پوینت,کالای دیجیتال
فلت گوشی,کالای دیجیتال
وبکم,کالای دیجیتال
برچسب و استیکر موبایل و لپ تاپ,کالای دیجیتال
تلسکوپ,کالای دیجیتال
برد گوشی,کالای دیجیتال
لوازم جانبی کارت خوان و صندوق فروشگاهی,کالای دیجیتال
آی سی گوشی و تبلت,کالای دیجیتال
میکروفن گوشی و تبلت,کالای دیجیتال
باتری,کالای دیجیتال
کیس های اسمبل شده,کالای دیجیتال
لپ تاپ و نوت بوک,کالای دیجیتال
تجهیزات ویپ,کالای دیجیتال
جک و سوکت گوشی و تبلت,کالای دیجیتال
بازر و بلندگو گوشی و تبلت,کالای دیجیتال
آیفون درب بازکن و لوازم جانبی,کالای دیجیتال
رول کاغذ,کالای دیجیتال
هارد و SSD,کالای دیجیتال
هاب سوییچ,کالای دیجیتال
سیم کارت و لوازم جانبی,کالای دیجیتال
تجهیزات RFID,کالای دیجیتال
گیرنده دیجیتال,کالای دیجیتال
خنک کننده و فن,کالای دیجیتال
کیت تمیز کننده,کالای دیجیتال
ماشین حساب,کالای دیجیتال
کابل شبکه,کالای دیجیتال
دامنه و میزبانی وب,کالای دیجیتال
کیف و کاور لپ تاپ,کالای دیجیتال
کامپیوترهای All-in-One,کالای دیجیتال
لوازم جانبی سیستم های نظارتی و امنیتی,کالای دیجیتال
دانگل HDMI,کالای دیجیتال
تجهیزات ماینینگ,کالای دیجیتال
دستگاه کنترل تردد,کالای دیجیتال
قلم لمسی,کالای دیجیتال
اسکنر سه بعدی,کالای دیجیتال
UTM و فایروال,کالای دیجیتال
سایر لوازم جانبی موبایل و تبلت,کالای دیجیتال
پردازنده,کالای دیجیتال
سیستم صوتی خانگی,کالای دیجیتال
مبدل و آداپتور,کالای دیجیتال
تجهیزات اسکناس، چک و خودپرداز,کالای دیجیتال
پلاتر و لوازم جانبی,کالای دیجیتال
سوییچ و اسپلیتر,کالای دیجیتال
تجهیزات بازی موبایل,کالای دیجیتال
گلس تعمیراتی گوشی و تبلت,کالای دیجیتال
کیف و کاور موبایل و تبلت,کالای دیجیتال
تجهیزات استودیویی,کالای دیجیتال
سانترال و لوازم جانبی,کالای دیجیتال
صندوق فروشگاهی,کالای دیجیتال
کارت خوان و رم ریدر,کالای دیجیتال
لوازم جانبی هدفون و هدست,کالای دیجیتال
بازی رایانه و کنسول,کالای دیجیتال
اسکنر,کالای دیجیتال
گام شمار,کالای دیجیتال
بیسیم و لوازم جانبی,کالای دیجیتال
ساعت هوشمند,کالای دیجیتال
ابزار شبکه,کالای دیجیتال
فلش مموری,کالای دیجیتال
پنل خورشیدی و تجهیزات,کالای دیجیتال
بارکد خوان و لوازم جانبی,کالای دیجیتال
ابزار بسته بندی,خدمات کسب و کار
عکاسی,خدمات کسب و کار
طراحی و چاپ عکس,خدمات کسب و کار
خدمات حمل و نقل و اسباب کشی,خدمات کسب و کار
کلوچه و نان شیرینی,مواد غذایی
عسل,مواد غذایی
نوشابه و ماء الشعير,مواد غذایی
آب معدنی,مواد غذایی
بادام هندی,مواد غذایی
سرکه,مواد غذایی
روغن‌های خوراکی,مواد غذایی
آبمیوه و شربت,مواد غذایی
فرآورده های عسل,مواد غذایی
فندق,مواد غذایی
آلو خشک,مواد غذایی
شیرینی,مواد غذایی
تنقلات,مواد غذایی
قهوه,مواد غذایی
گز,مواد غذایی
برنج,مواد غذایی
غلات,مواد غذایی
کشمش ، نخودچی و مویز,مواد غذایی
دمنوش,مواد غذایی
زرشک,مواد غذایی
سوهان,مواد غذایی
آبلیمو,مواد غذایی
ماکارونی پاستا و رشته,مواد غذایی
محصولات کافئین دار,مواد غذایی
چای,مواد غذایی
میوه خشک,مواد غذایی
روغنهای خوراکی,مواد غذایی
زعفران,مواد غذایی
